Data;Consumo
1979.01;5623
1979.02;5551
1979.03;5725
1979.04;5797
1979.05;6002
1979.06;5988
1979.07;6054
1979.08;6022
1979.09;6353
1979.10;6144
1979.11;6393
1979.12;6337
1980.01;6276
1980.02;6239
1980.03;6266
1980.04;6393
1980.05;6458
1980.06;6559
1980.07;6467
1980.08;6879
1980.09;6817
1980.10;6800
1980.11;7145
1980.12;6636
1981.01;7150
1981.02;6563
1981.03;6878
1981.04;6527
1981.05;6751
1981.06;6464
1981.07;6584
1981.08;6813
1981.09;6561
1981.10;6599
1981.11;6754
1981.12;6452
1982.01;6702
1982.02;6354
1982.03;6570
1982.04;7255
1982.05;6829
1982.06;6998
1982.07;7080
1982.08;7275
1982.09;7381
1982.10;7189
1982.11;7285
1982.12;7046
1983.01;7151
1983.02;6860
1983.03;6902
1983.04;7659
1983.05;7157
1983.06;7804
1983.07;7373
1983.08;7400
1983.09;7937
1983.10;7694
1983.11;7620
1983.12;7547
1984.01;7704
1984.02;8008
1984.03;8198
1984.04;7815
1984.05;8125
1984.06;8342
1984.07;8231
1984.08;8550
1984.09;8790
1984.10;8307
1984.11;9096
1984.12;8463
1985.01;8598
1985.02;8665
1985.03;8690
1985.04;9170
1985.05;8807
1985.06;9039
1985.07;8510
1985.08;9359
1985.09;9368
1985.10;9098
1985.11;9472
1985.12;9080
1986.01;9130
1986.02;9104
1986.03;8522
1986.04;9014
1986.05;9674
1986.06;9406
1986.07;9324
1986.08;9912
1986.09;9658
1986.10;9716
1986.11;10145
1986.12;9251
1987.01;9992
1987.02;9074
1987.03;9502
1987.04;9227
1987.05;9734
1987.06;9219
1987.07;9469
1987.08;10006
1987.09;9753
1987.10;9785
1987.11;10067
1987.12;9589
1988.01;10152
1988.02;9761
1988.03;9704
1988.04;10320
1988.05;9462
1988.06;9791
1988.07;9989
1988.08;9882
1988.09;10627
1988.10;10388
1988.11;9963
1988.12;9994
1989.01;9959
1989.02;10238
1989.03;9383
1989.04;10604
1989.05;9860
1989.06;10300
1989.07;10533
1989.08;10365
1989.09;11250
1989.10;10540
1989.11;10826
1989.12;10268
1990.01;10458
1990.02;10754
1990.03;10165
1990.04;10492
1990.05;9267
1990.06;10046
1990.07;9719
1990.08;10303
1990.09;11063
1990.10;10377
1990.11;11052
1990.12;10204
1991.01;9981
1991.02;10236
1991.03;9515
1991.04;10133
1991.05;10555
1991.06;10763
1991.07;10246
1991.08;11126
1991.09;11206
1991.10;10855
1991.11;11231
1991.12;10628
1992.01;10590
1992.02;10610
1992.03;10543
1992.04;10259
1992.05;10771
1992.06;10425
1992.07;10592
1992.08;11027
1992.09;10782
1992.10;10744
1992.11;11085
1992.12;10403
1993.01;10803
1993.02;10371
1993.03;10427
1993.04;11516
1993.05;10881
1993.06;10949
1993.07;10874
1993.08;11267
1993.09;11443
1993.10;11170
1993.11;11367
1993.12;10898
1994.01;10895
1994.02;10773
1994.03;10595
1994.04;11432
1994.05;10712
1994.06;11242
1994.07;10737
1994.08;11028
1994.09;11842
1994.10;11695
1994.11;11626
1994.12;11552
1995.01;11876
1995.02;11914
1995.03;11659
1995.04;12243
1995.05;11660
1995.06;11737
1995.07;11792
1995.08;11777
1995.09;12575
1995.10;11981
1995.11;12525
1995.12;11987
1996.01;11898
1996.02;12372
1996.03;12184
1996.04;12618
1996.05;12461
1996.06;12617
1996.07;12059
1996.08;13114
1996.09;12989
1996.10;12927
1996.11;13050
1996.12;12798
1997.01;13149
1997.02;13216
1997.03;12768
1997.04;13040
1997.05;13395
1997.06;13096
1997.07;13093
1997.08;13654
1997.09;13656
1997.10;13869
1997.11;14231
1997.12;13513
1998.01;14099
1998.02;13559
1998.03;13347
1998.04;14114
1998.05;13849
1998.06;13229
1998.07;13446
1998.08;14101
1998.09;14224
1998.10;14133
1998.11;13961
1998.12;13509
1999.01;13689
1999.02;13409
1999.03;13636
1999.04;14678
1999.05;13711
1999.06;13902
1999.07;13787
1999.08;14129
1999.09;14362
1999.10;14218
1999.11;14398
1999.12;14117
2000.01;14299
2000.02;14282
2000.03;14705
2000.04;14694
2000.05;14513
2000.06;14521
2000.07;14421
2000.08;14465
2000.09;14669
2000.10;14947
2000.11;15347
2000.12;14653
2001.01;14729
2001.02;15373
2001.03;15005
2001.04;15628
2001.05;15007
2001.06;13361
2001.07;10983
2001.08;11216
2001.09;11721
2001.10;11680
2001.11;11943
2001.12;11840
2002.01;12158
2002.02;12416
2002.03;12803
2002.04;13661
2002.05;13701
2002.06;13363
2002.07;12836
2002.08;13326
2002.09;13366
2002.10;13574
2002.11;13994
2002.12;13638
2003.01;13540
2003.02;13461
2003.03;13659
2003.04;13279
2003.05;13387
2003.06;13100
2003.07;12993
2003.08;13259
2003.09;13115
2003.10;13829
2003.11;13862
2003.12;14042
2004.01;13505
2004.02;13229
2004.03;13356
2004.04;13796
2004.05;14085
2004.06;14081
2004.07;14213
2004.08;14320
2004.09;14723
2004.10;14981
2004.11;14834
2004.12;14772
2005.01;15040
2005.02;14528
2005.03;14852
2005.04;15550
2005.05;14987
2005.06;15164
2005.07;14815
2005.08;14904
2005.09;15285
2005.10;15245
2005.11;15468
2005.12;15242
2006.01;17289
2006.02;16809
2006.03;17006
2006.04;16122
2006.05;16260
2006.06;15473
2006.07;15209
2006.08;15789
2006.09;15860
2006.10;15890
2006.11;16723
2006.12;16690
2007.01;16528
2007.02;16512
2007.03;17593
2007.04;17664
2007.05;17337
2007.06;16896
2007.07;16622
2007.08;17013
2007.09;17586
2007.10;17489
2007.11;17983
2007.12;17622
2008.01;17552
2008.02;17445
2008.03;17566
2008.04;17576
2008.05;17862
2008.06;17415
2008.07;17747
2008.08;18282
2008.09;18157
2008.10;18526
2008.11;18439
2008.12;16842
2009.01;16346
2009.02;16418
2009.03;17161
2009.04;17282
2009.05;16781
2009.06;16620
2009.07;16936
2009.08;17469
2009.09;17796
2009.10;18111
2009.11;18388
2009.12;18492
2010.01;17684
2010.02;18113
2010.03;18522
2010.04;18825
2010.05;18240
2010.06;18213
2010.07;17936
2010.08;18657
2010.09;18980
2010.10;18818
2010.11;18710
2010.12;19306
2011.01;19248
2011.02;19218
2011.03;19391
2011.04;19369
2011.05;18909
2011.06;18738
2011.07;18732
2011.08;19249
2011.09;19754
2011.10;19385
2011.11;19379
2011.12;19298
2012.01;18914
2012.02;19338
2012.03;20229
2012.04;20294
2012.05;19243
2012.06;19341
2012.07;18761
2012.08;19391
2012.09;19903
2012.10;19836
2012.11;20484
2012.12;19504
2013.01;20088
2013.02;19774
2013.03;19905
2013.04;20096
2013.05;19910
2013.06;19651
2013.07;19330
2013.08;19837
2013.09;20026
2013.10;20324
2013.11;20764
2013.12;20380
2014.01;20638
2014.02;21500
2014.03;20722
2014.04;20299
2014.05;20005
2014.06;19162
2014.07;19080
2014.08;19329
2014.09;19414
2014.10;20242
2014.11;20794
2014.12;20099
2015.01;20859
2015.02;20774
2015.03;20148
2015.04;20094
2015.05;19176
2015.06;18623
2015.07;18400
2015.08;18947
2015.09;18778
2015.10;19695
2015.11;19711
2015.12;19231
2016.01;19188
2016.02;19370
2016.03;19503
2016.04;20442
2016.05;19230
2016.06;18531
2016.07;18307
2016.08;18612
2016.09;19188
2016.10;19064
2016.11;19309
2016.12;19180
2017.01;19679
